"""The calmodulin regulator protein, PEP-19, sensitizes ATP-induced Ca2+ release.",calmodulin: protein; PEP-19: protein; ATP: molecule; Ca2+: ion
"A series of anthra[1,2-d]imidazole-6,11-dione derivatives were synthesized and evaluated for telomerase inhibition, hTERT expression and suppression of cancer cell growth in vitro. All of the compounds tested, except for compounds 4, 7, 16, 24, 27 and 28 were selected by the NCI screening system. Among them, compounds 16, 39, and 40 repressed hTERT expression without greatly affecting cell growth, suggesting for the selectivity toward hTERT expression. Taken together, our findings indicated that the analysis of cytotoxicity and telomerase inhibition might provide information applicable for further developing potential telomerase and polypharmacological targeting strategy.""","anthra[1,2-d]imidazole-6,11-dione: chemical compound; telomerase: enzyme; hTERT: gene; NCI: organization; cytotoxicity: biological process"
"""The effects of tamsulosin, a high affinity antagonist at functional alpha 1A- and alpha 1D-adrenoceptor subtypes.",tamsulosin: pharmaceutical drug; alpha1A-adrenoceptor: protein receptor; alpha1D-adrenoceptor: protein receptor
"1. The actions of the alpha 1-adrenoceptor antagonist tamsulosin have been examined at functional alpha 1-adrenoceptor subtypes and compared with those at the human prostate receptor. 2. At the alpha 1D-adrenoceptors of the rat aorta, tamsulosin acted as a competitive antagonist with a high affinity (pKB = 10.1). 3. At the alpha 1B-adrenoceptor of the rat spleen and rabbit corpus cavernosum penis, tamsulosin again acted as a competitive antagonist but with a significantly lower affinity (pKB = 8.9-9.2). 4. Tamsulosin acted as an unsurmountable antagonist of the alpha 1A-adrenoceptor-mediated responses of the rat and human vas deferens, reducing maximal responses to phenylephrine by 20% and 50%, respectively, at an antagonist concentration of 1 nM. Responses of depolarized (100 mM KCl) rat vas deferens preparations were unaffected by 10 nM tamsulosin but this concentration reduced maximal responses to 5-hydroxytryptamine (5-HT) in this tissue. 5. When longer antagonist incubation periods (> or = 60 min) were used, tamsulosin behaved as a competitive antagonist on the human prostate with a significantly higher affinity (pKB = 10.0) than obtained at the alpha 1B-adrenoceptor. 6. The data demonstrate that tamsulosin is a high affinity antagonist at functional alpha 1-adrenoceptors with a selectivity alpha 1D > or = alpha 1A > alpha 1B. In some tissues the compound exhibits an additional unsurmountable antagonist action, the clinical significance of which is unknown.""",alpha1-adrenoceptor: receptor type; tamsulosin: pharmaceutical compound; alpha1D-adrenoceptors: receptor subtype; rat: animal species; aorta: anatomical structure; alpha1B-adrenoceptor: receptor subtype; spleen: anatomical structure; rabbit: animal species; corpuscavernosumpenis: anatomical structure; alpha1A-adrenoceptor: receptor subtype; vasdeferens: anatomical structure; phenylephrine: pharmaceutical compound; KCl: chemical compound; 5-hydroxytryptamine: neurotransmitter; 5-HT: neurotransmitter; prostate: anatomical structure; data: none
"""The synaptic vesicle protein SV2A is the binding site for the antiepileptic drug levetiracetam.",SV2A: protein; levetiracetam: drug
"Here, we show that the synaptic vesicle protein SV2A is the brain binding site of levetiracetam (LEV), a new antiepileptic drug with a unique activity profile in animal models of seizure and epilepsy. The LEV-binding site is enriched in synaptic vesicles, and photoaffinity labeling of purified synaptic vesicles confirms that it has an apparent molecular mass of approximately 90 kDa. Brain membranes and purified synaptic vesicles from mice lacking SV2A do not bind a tritiated LEV derivative, indicating that SV2A is necessary for LEV binding. LEV and related compounds bind to SV2A expressed in fibroblasts, indicating that SV2A is sufficient for LEV binding. No binding was observed to the related isoforms SV2B and SV2C. Furthermore, there is a high degree of correlation between binding affinities of a series of LEV derivatives to SV2A in fibroblasts and to the LEV-binding site in brain. Finally, there is a strong correlation between the affinity of a compound for SV2A and its ability to protect against seizures in an audiogenic mouse animal model of epilepsy. These experimental results suggest that SV2A is the binding site of LEV in the brain and that LEV acts by modulating the function of SV2A, supporting previous indications that LEV possesses a mechanism of action distinct from that of other antiepileptic drugs. Further, these results indicate that proteins involved in vesicle exocytosis, and SV2 in particular, are promising targets for the development of new CNS drug therapies.""",synapticvesicleproteinSV2A: protein; levetiracetam: pharmaceutical compound; LEV: pharmaceutical compound; antiepilepticdrug: pharmaceutical category; activityprofile: none; animalmodels: experimental method; seizure: medical condition; epilepsy: medical condition; LEV-bindingsite: biological structure; synapticvesicles: cellular component; photoaffinitylabeling: experimental technique; molecularmass: scientific measurement; kDa: scientific unit; brainmembranes: biological structure; mice: organism; SV2A: protein; tritiatedLEVderivative: chemical compound; fibroblasts: cell type; SV2B: protein; SV2C: protein; bindingaffinities: scientific measurement; LEVderivatives: chemical compound; audiogenicmouseanimalmodel: experimental method; CNSdrugtherapies: medical treatment; vesicleexocytosis: biological process
"""Minor Compensatory Changes in SAGE Mdr1a (P-gp), Bcrp, and Mrp2 Knockout Rats do not Detract from their General Utility in the Study of Transporter-mediated Pharmacokinetics.",SAGE: organization; Mdr1a: gene; P-gp: protein; Bcrp: protein; Mrp2: protein; Knockout: none; Rats: animal; Transporter-mediated: none; Pharmacokinetics: scientific field
"Mdr1a-, Bcrp-, and Mrp2-knockout rats are a more practical species for ADME studies than murine models and previously demonstrated expected alterations in pharmacokinetics of various probe substrates. At present, gene expression and pathology changes were systematically studied in small intestine, liver, kidney, and brain tissue from male SAGE Mdr1a-, Bcrp-, and Mrp2-knockout rats versus wild-type Sprague Dawley controls. Gene expression data supported the relevant knockout genotype. As expected, Mrp2-knockout rats were hyperbilirubinemic and exhibited upregulation of hepatic Mrp3. Overall, few alterations were observed within 112 ADME-relevant genes. The two potentially most consequential changes were upregulation of intestinal carboxylesterase in Mdr1a-knockouts and catechol-O-methyltransferase in all tissues of Bcrp-knockout rats. Previously reported upregulation of hepatic Mdr1b P-glycoprotein in proprietary Wistar Mdr1a-knockout rats was not observed in the SAGE counterpart investigated herein. Relative liver and kidney weights were 22-53% higher in all three knockouts, with microscopic increases in hepatocyte size in Mdr1a- and Mrp2-knockout rats, and glomerular size in Bcrp- and Mrp2-knockouts. Increased relative weight of clearing organs is quantitatively consistent with reported increases in clearance of drugs that are not substrates of the knocked-out transporter. Overall, SAGE knockout rats demonstrated modest compensatory changes, which do not preclude their general application to study transporter-mediated pharmacokinetics. However, until future studies elucidate the magnitude of functional change, caution is warranted in rare instances of extensive metabolism by catechol-O-methyltransferase in Bcrp-knockouts and intestinal carboxylesterase in Mdr1a-knockout rats, specifically for molecules with free catechol groups and esters subject to gut wall hydrolysis.""",Mdr1a-knockout: animal model; Bcrp-knockout: animal model; Mrp2-knockout: animal model; ADME: scientific concept; pharmacokinetics: scientific concept; SAGE: organization; SpragueDawley: animal strain; Mrp3: protein; carboxylesterase: enzyme; catechol-O-methyltransferase: enzyme; Mdr1b: protein; P-glycoprotein: protein; Wistar: animal strain; hepatocyte: cell type; glomerular: anatomical structure; catechol: chemical compound; esters: chemical compound
"""Transcriptional regulation of human ferredoxin 1 in ovarian granulosa cells.",Transcriptional: biological process; regulation: biological process; human: species; ferredoxin1: protein; ovarian: anatomical location; granulosa: cell type; cells: biological structure
"Ferredoxin 1 (FDX1; adrenodoxin) is an iron-sulfur protein that is involved in various metabolic processes, including steroid hormone synthesis in mammalian tissues. We investigated the transcriptional regulation of FDX1 in ovarian granulosa cells. Previously, we reported that the NR5A family, including steroidogenic factor-1 (SF-1) and liver receptor homolog-1 could induce differentiation of human mesenchymal stem cells (hMSCs) into steroidogenic cells. A ChIP assay showed that SF-1 could bind to the FDX1 promoter in differentiated hMSCs. Luciferase reporter assays showed that transcription of FDX1 was synergistically activated by the NR5A family and 8Br-cAMP treatment through two SF-1 binding sites and a CRE-like sequence in a human ovarian granulosa cell line, KGN. Knockdown of FDX1 attenuated progesterone production in KGN cells. These results indicate transcription of FDX1 is regulated by the NR5A family and cAMP signaling, and participates in steroid hormone production in ovarian granulosa cells.""",Ferredoxin1: protein; FDX1: protein; adrenodoxin: protein; iron-sulfur: chemical compound; steroid: biochemical compound; hormone: biochemical compound; mammalian: biological classification; NR5A: protein family; steroidogenicfactor-1: protein; SF-1: protein; liverreceptorhomolog-1: protein; humanmesenchymalstemcells: cell type; hMSCs: cell type; ChIP: experimental technique; FDX1promoter: genetic element; luciferasereporter: experimental technique; 8Br-cAMP: chemical compound; CRE-like: genetic element; KGN: cell line; progesterone: hormone; cAMP: biochemical compound; ovarian: anatomical location; granulosa: cell type
"""The role of mitochondria and biotransformation in abamectin-induced cytotoxicity in isolated rat hepatocytes.",mitochondria: cellular organelle; biotransformation: biological process; abamectin: chemical compound; cytotoxicity: biological effect; hepatocytes: cell type; rat: animal species
"Abamectin (ABA), which belongs to the family of avermectins, is used as a parasiticide; however, ABA poisoning can impair liver function. In a previous study using isolated rat liver mitochondria, we observed that ABA inhibited the activity of adenine nucleotide translocator and FoF1-ATPase. The aim of this study was to characterize the mechanism of ABA toxicity in isolated rat hepatocytes and to evaluate whether this effect is dependent on its metabolism. The toxicity of ABA was assessed by monitoring oxygen consumption and mitochondrial membrane potential, intracellular ATP concentration, cell viability, intracellular Ca(2+) homeostasis, release of cytochrome c, caspase 3 activity and necrotic cell death. ABA reduces cellular respiration in cells energized with glutamate and malate or succinate. The hepatocytes that were previously incubated with proadifen, a cytochrome P450 inhibitor, are more sensitive to the compound as observed by a rapid decrease in the mitochondrial membrane potential accompanied by reductions in ATP concentration and cell viability and a disruption of intracellular Ca(2+) homeostasis followed by necrosis. Our results indicate that ABA biotransformation reduces its toxicity, and its toxic action is related to the inhibition of mitochondrial activity, which leads to decreased synthesis of ATP followed by cell death.""",Abamectin: chemical compound; ABA: chemical compound; avermectins: chemical family; parasiticide: chemical function; liver: biological organ; mitochondria: cellular organelle; adenine: chemical compound; nucleotide: chemical compound; translocator: protein function; FoF1-ATPase: enzyme complex; hepatocytes: cell type; metabolism: biological process; oxygen: chemical element; consumption: biological process; membrane: cellular structure; potential: physical property; ATP: chemical compound; concentration: physical property; viability: biological state; Ca(): chemical element; homeostasis: biological process; cytochrome: protein; caspase3: enzyme; necrosis: biological process; respiration: biological process; glutamate: chemical compound; malate: chemical compound; succinate: chemical compound; proadifen: chemical compound; cytochromeP450: enzyme; biotransformation: biological process; synthesis: biological process; death: biological state
"""Antioxidant and Anti-inflammatory Meroterpenoids from the Brown Alga Cystoseira usneoides.",Antioxidant: chemical compound; Anti-inflammatory: chemical property; Meroterpenoids: chemical compound; BrownAlga: biological organism; Cystoseirausneoides: biological species
"A chemical study of the alga Cystoseira usneoides has led to the isolation of six new meroterpenoids, cystodiones A-F (1-6), together with six known related compounds (7-12). The structures of the new metabolites have been established by spectroscopic techniques. In antioxidant assays all of the tested meroterpenes, and in particular cystodiones A (1) and B (2), 6-cis-amentadione-1'-methyl ether (7), and amentadione-1'-methyl ether (8), exhibited strong radical-scavenging activity. In anti-inflammatory assays, usneoidone Z (11) and its corresponding 6E isomer (12) showed significant activity as inhibitors of the production of the proinflammatory cytokine TNF-α in LPS-stimulated THP-1 human macrophages.""",Cystoseirausneoides: alga species; meroterpenoids: chemical compounds; cystodionesA: chemical compound; cystodionesB: chemical compound; cystodionesC: chemical compound; cystodionesD: chemical compound; cystodionesE: chemical compound; cystodionesF: chemical compound; 6-cis-amentadione-1'-methylether: chemical compound; amentadione-1'-methylether: chemical compound; usneoidoneZ: chemical compound; 6Eisomer: chemical compound; TNF-α: cytokine; LPS: bacterial component; THP-1: cell line; macrophages: cell type
"""Preferential cerebrospinal fluid acetylcholinesterase inhibition by rivastigmine in humans.",cerebrospinalfluid: biological substance; acetylcholinesterase: enzyme; rivastigmine: pharmaceutical drug; humans: species
"This study sought to examine the feasibility of prolonged assessment of acetylcholinesterase (AChE) activity in the cerebrospinal fluid (CSF) of volunteers and to test the hypothesis that rivastigmine (ENA-713; Exelon, Novartis Pharma AG, Basel, Switzerland) selectively inhibits AChE in CSF in humans at a dose producing minimal inhibition of the peripheral enzyme. Lumbar CSF samples were collected continuously (0.1 mL x min(-1)) for 49 hours from eight healthy volunteers who took either placebo or a single oral dose of rivastigmine (3 mg). CSF specimens and samples of blood cells and blood plasma were analyzed at intervals for rivastigmine and its metabolite NAP 226-90 ([-] [3-([1-dimethylaminolethyl)-phenol]), erythrocyte AChE activity, CSF AChE activity, and plasma and CSF butyrylcholinesterase (BuChE) activity. Safety evaluations were performed 23 hours after drug dosing and at the end of the study. Evaluable data were obtained from six subjects. The mean time to maximal rivastigmine plasma concentration (tmax) was 0.83 +/- 0.26 hours, the mean maximal plasma concentration (Cmax) was 4.88 +/- 3.82 ng x mL(-1), the mean plasma area under the concentration versus time curve (AUC0-infinity) was 7.43 +/- 4.74 ng x hr x mL(-1), and the mean plasma t1/2 was 0.85 +/- 0.115 hours. The concentration of rivastigmine in CSF was lower than the quantification limit for assay (0.65 ng x mL(-1)), but NAP 226-90 reached a mean Cmax of 3.14 +/- 0.57 ng x mL(-1). Only minimal inhibition of erythrocyte AChE activity (approximately 3%) was observed. Inhibition of AChE in the CSF after rivastigmine administration was significantly greater than after placebo for up to 8.4 hours after the dose and was maximal (40%) at 2.4 hours. Plasma BuChE activity was significantly lower after rivastigmine than after placebo, but this was not clinically relevant. BuChE activity in CSF was significantly lower after rivastigmine than after placebo for up to 3.6 hours after dosing, but this difference was not sustained. This study confirms the feasibility of using continuous measurement of AChE activity in CSF over prolonged periods, that rivastigmine markedly inhibits CSF AChE after a single oral dose of 3 mg, and that the inhibition of central AChE is substantially greater than that of peripheral AChE or BuChE.""",acetylcholinesterase: enzyme; AChE: enzyme; cerebrospinalfluid: biological fluid; CSF: biological fluid; rivastigmine: pharmaceutical drug; ENA-713: pharmaceutical drug; Exelon: pharmaceutical drug; NovartisPharmaAG: company; Basel: geographical location; Switzerland: country; NAP226-90: chemical compound; erythrocyte: cell type; plasma: biological fluid; butyrylcholinesterase: enzyme; BuChE: enzyme; tmax: pharmacokinetic parameter; Cmax: pharmacokinetic parameter; AUC0-infinity: pharmacokinetic parameter; t1/2: pharmacokinetic parameter; placebo: pharmaceutical substance; volunteers: human subjects; humans: species; study: research activity
"""Neurochemical effects of the monoamine oxidase inhibitor phenelzine on brain GABA and alanine: A comparison with vigabatrin.",Neurochemical: scientific concept; monoamineoxidaseinhibitor: pharmaceutical compound; phenelzine: pharmaceutical compound; brain: biological organ; GABA: neurotransmitter; alanine: amino acid; vigabatrin: pharmaceutical compound
"PURPOSE: To compare phenelzine (PLZ), an antidepressant drug with anxiolytic properties which inhibits monoamine oxidase (MAO) but also elevates rat brain levels of the amino acids ?-aminobutyric acid (GABA) and alanine (ALA), with vigabatrin (VIG), an anticonvulsant which elevates brain GABA by inhibition of GABA transaminase (GABA-T), with regard to their actions on brain levels of GABA and ALA and on activities of MAO, GABA-T and ALA transaminase (ALA-T). METHODS: Male rats were administered PLZ (10 mg/kg) or VIG (1,000 mg/kg) i.p., and the rats were euthanized 4 hours later and the brains removed for analysis of levels of GABA and ALA (by electron capture gas chromatography after derivatization) and activities of MAO, GABA-T and ALA-T (radiochemical assays). RESULTS: Both PLZ and VIG inhibited GABA-T and elevated GABA levels. Only PLZ inhibited MAO and ALA-T and elevated ALA levels. The effects of PLZ on both amino acids and their transaminases were blocked by pre-treatment with the MAO inhibitor tranylcypromine. This pretreament had no effect on the inhibition of GABA-T or the elevation of brain GABA levels produced by VIG. CONCLUSIONS: At the doses studied, PLZ was as effective as VIG at elevating brain GABA levels, but, unlike VIG, also inhibited MAO and ALA-T (and increased brain ALA levels). Pretreatment of rats with the MAO inhibitor tranylcypromine prevented the increase in brain GABA and ALA levels with PLZ, but did not block the effect of VIG on GABA. These observations with tranylcypromine and PLZ support the hypothesis that an active metabolite of PLZ produced by the actions of MAO on this drug plays a major role in its GABA- and ALA-elevating actions.""",phenelzine: pharmaceutical drug; PLZ: pharmaceutical drug; antidepressant: drug category; anxiolytic: drug category; monoamineoxidase: enzyme; MAO: enzyme; rat: animal; brain: organ; aminoacids: biochemical compound; GABA: neurotransmitter; alanine: amino acid; ALA: amino acid; vigabatrin: pharmaceutical drug; VIG: pharmaceutical drug; anticonvulsant: drug category; GABAtransaminase: enzyme; GABA-T: enzyme; ALAtransaminase: enzyme; ALA-T: enzyme; methods: none; rats: animal; mg/kg: measurement unit; i.p.: administration route; hours: time unit; brains: organ; analysis: none; electroncapturegaschromatography: analytical technique; derivatization: chemical process; radiochemicalassays: analytical technique; results: none; pretreatment: none; tranylcypromine: pharmaceutical drug; conclusions: none; doses: none; metabolite: biochemical compound; actions: none
"""Jostling for position: optimizing linker location in the design of estrogen receptor-targeting PROTACs.",linker: chemical component; estrogenreceptor: biological target; PROTACs: therapeutic agent
"Estrogen receptor-alpha (ER) antagonists have been widely used for breast cancer therapy. Despite initial responsiveness, hormone-sensitive ER-positive cancer cells eventually develop resistance to ER antagonists. It has been shown that in most of these resistant tumor cells, the ER is expressed and continues to regulate tumor growth. Recent studies indicate that tamoxifen initially acts as an antagonist, but later functions as an ER agonist, promoting tumor growth. This suggests that targeted ER degradation may provide an effective therapeutic approach for breast cancers, even those that are resistant to conventional therapies. With this in mind, we previously demonstrated that proteolysis targeting chimeras (PROTACs) effectively induce degradation of the ER as a proof-of-concept experiment. Herein we further refined the PROTAC approach to target the ER for degradation. The ER-targeting PROTACs are composed of an estradiol on one end and a hypoxia-inducing factor 1alpha (HIF-1alpha)-derived synthetic pentapeptide on the other. The pentapeptide is recognized by an E3 ubiquitin ligase called the von Hippel Lindau tumor suppressor protein (pVHL), thereby recruiting the ER to this E3 ligase for ubiquitination and degradation. Specifically, the pentapeptide is attached at three different locations on estradiol to generate three different PROTAC types. With the pentapeptide linked through the C7alpha position of estradiol, the resulting PROTAC shows the most effective ER degradation and highest affinity for the estrogen receptor. This result provides an opportunity to develop a novel type of ER antagonist that may overcome the resistance of breast tumors to conventional drugs such as tamoxifen and fulvestrant (Faslodex).""",Estrogenreceptor-alpha: protein; ER: protein; breastcancer: disease; ERantagonists: drug class; tamoxifen: drug; ERagonist: drug class; PROTACs: therapeutic approach; estradiol: compound; hypoxia-inducingfactor1alpha: protein; HIF-1alpha: protein; pentapeptide: peptide; E3ubiquitinligase: enzyme; vonHippelLindautumorsuppressorprotein: protein; pVHL: protein; C7alpha: chemical position; fulvestrant: drug; Faslodex: drug
"""Cytochrome p450-mediated changes in oxycodone pharmacokinetics/pharmacodynamics and their clinical implications.",CytochromeP450: enzyme; oxycodone: pharmaceutical drug; pharmacokinetics: scientific concept; pharmacodynamics: scientific concept; implications: none
"In recent years the use of the opioid oxycodone has increased markedly and replacing morphine as the first-line choice of opioid in several countries. There are formulations for oral immediate, oral extended release and intravenous use. The bioavailability is higher than for morphine and less variable. Oxycodone is primarily metabolized in the liver by the cytochrome P450 (CYP) enzymes with CYP3A as the major metabolic pathway and CYP2D6 as the minor metabolic pathway to noroxycodone, oxymorphone and noroxymorphone. Oxycodone exerts its analgesic effect via the µ-opioid receptor. The metabolism of CYP2D6 substrates varies to a large degree between individuals as a result of allele functionality. Poor metabolizers (PM) have two non-functional alleles, extensive metabolizers (EM) are homozygous with two functional alleles or heterozygous with one functional allele and ultrarapid metabolizers (UM) have more than two functional alleles. There are pronounced interethnic differences in the allele distribution. On the basis of studies performed thus far, oxycodone concentrations in comparison with EM are similar in PM and reduced in UM. The pharmacokinetics in UM are insufficiently investigated. Simultaneous inhibition of both CYP3A and CYP2D6 results in increased oxycodone concentrations and such a combination should be avoided. A similar effect is to be expected with use of a CYP3A inhibitor in CYP2D6 PM. Concomitant use of enzyme inducers such as rifampicin, St John's wort and carbamazepine should be avoided because of the risk of subtherapeutic concentrations of oxycodone. When the dosage of morphine may result in unpredictable bioavailability, like in patients with severe hepatic cirrhosis, oxycodone might be beneficial because it has higher and less variability in bioavailability between patients than morphine.""",oxycodone: pharmaceutical drug; morphine: pharmaceutical drug; bioavailability: pharmacokinetic property; liver: biological organ; cytochromeP450: enzyme family; CYP3A: enzyme; CYP2D6: enzyme; noroxycodone: metabolite; oxymorphone: metabolite; noroxymorphone: metabolite; µ-opioidreceptor: biological receptor; allele: genetic variant; functionality: genetic characteristic; metabolizers: pharmacogenetic classification; PM: pharmacogenetic classification; EM: pharmacogenetic classification; UM: pharmacogenetic classification; interethnic: demographic characteristic; oxycodoneconcentrations: pharmacokinetic measurement; pharmacokinetics: scientific field; rifampicin: pharmaceutical drug; StJohn'swort: herbal supplement; carbamazepine: pharmaceutical drug; hepaticcirrhosis: medical condition
