The Collections reverse() method can reverse the elements in a Java List.,"[""('method', 'collaboration', 'interface'): (collections.reverse(), reverse the elements in, list)""]"
The Java InputStream class contains a method called readAllBytes() (since Java 9).,"[""('class', 'containment', 'method'): (inputstream, contains, readallbytes())""]"
Here is an example of reading all bytes from a Java InputStream via readAllBytes():,"[""('class', 'collaboration', 'method'): (inputstream, via, readallbytes())""]"
"If an InputStream subclass supports the mark() and reset() methods, then that subclass should override the markSupported() to return true.","[""('class', 'collaboration', 'method'): (inputstream, supports, mark())"", ""('class', 'collaboration', 'method'): (inputstream, supports, reset())"", ""('class', 'collaboration', 'method'): (inputstream, should_override, marksupported())""]"
The read() method of an InputStreamReader returns an int which contains the char value of the char read.,"[""('class', 'collaboration', 'method'): (inputstreamreader, method provision, read())""]"
Notice how there is no longer any explicit close() method call to the CharArrayWriter instance.,"[""('class', 'collaboration', 'method'): (chararraywriter, use of, close())""]"
"Like with FilterInputStream, I see no sensible purpose for this class.",[]
They make it somewhat easier to understand what the classes are targeting.,[]
The read() method of a Java PipedReader returns an int which contains the char value of the character read.,"[""('class', 'collaboration', 'method'): (pipedreader, use of read() method, read())""]"
"Third, the example calls the advanced printf() method of the PrintWriter which can insert formatted numbers into a text string.","[""('method', 'collaboration', 'class'): (printf(), calls method of, printwriter)""]"
Closing a Java StringReader can be done using the close() method like this:,"[""('class', 'collaboration', 'method'): (stringreader, can be done using, close())""]"
The Java OutputStream's flush() method flushes all data written to the OutputStream to the underlying data destination.,"[""('class', 'collaboration', 'method'): (outputstream, use of flush to move data, flush())""]"
The Java OutputStreamWriter's flush() method flushes all data written to the OutputStreamWriter to the underlying data destination.,"[""('class', 'collaboration', 'method'): (outputstreamwriter, use of flush() method, flush())""]"
"If you push back multiple bytes into the PushbackInputStream, the latest byte pushed back will be returned first from read(), just like on a stack.",[]
"You read bytes from the Java PushbackInputStream via its read() method, just like you do from a regular InputStream .","[""('class', 'collaboration', 'method'): (pushbackinputstream, read bytes from, read())"", ""('class', 'similarity', 'class'): (pushbackinputstream, just like you do from, inputstream)""]"
"Remember, calling this write() method will advance the file position of the RandomAccessFile by 1.",[]
The Java Reader class has a method named skip() which can be used to skip over a number of characters in the input that you do not want to read.,"[""('class', 'collaboration', 'method'): (reader, use method, skip())""]"
You do so by calling the nextToken() method of the StreamTokenizer inside a loop.,"[""('class', 'collaboration', 'method'): (streamtokenizer, calling, nexttoken())""]"
"System.in, System.out and System.err are initialized by the Java runtime when a Java VM starts up, so you don't have to instantiate any streams yourself (although you can exchange them at runtime).",[]
You will normally use a Writer subclass rather than a Writer directly.,"[""('class', 'replacement', 'class'): (writer, use rather than, writer)""]"
The Java String parameter passed to the Class forName() method is the name of the JDBC driver class for the given JDBC driver.,"[""('class', 'collaboration', 'method'): (class, passed_to_method, forname())""]"
"By the way, imagine that the used Person class looks like this:",[]
Here is an example of creating a JDBC DatabaseMetaData object via the JDBC Connection getMetaData() method:,"[""('class', 'creation', 'class'): (jdbc connection, creates, jdbc databasemetadata)"", ""('class', 'collaboration', 'method'): (jdbc connection, uses, getmetadata())""]"
The ResultSet returned by the getColumns() method contains a list of columns for the given table.,[]
Before the first next() call the ResultSet is positioned before the first row.,[]
"Once the row is ready to be inserted into the ResultSet, call the insertRow() method.","[""('class', 'collaboration', 'method'): (resultset, use of insertrow() method, insertrow())""]"
"If you need to insert another row, explicitly call moveToInsertRow() to signal this to the ResultSet.",[]
The purpose of an abstract class is to function as a base for subclasses.,[]
"If a class has an abstract method, the whole class must be declared abstract.",[]
The example I showed you above with the URLProcessorBase class is actually an example of the Template Method design pattern.,[]
In the above example the subclass SmartClock has a method called getTimeInSeconds() which accesses the time variable of the superclass Clock.,"[""('class', 'collaboration', 'method'): (smartclock, uses_method_called, gettimeinseconds())"", ""('class', 'containment', 'class'): (smartclock, subclass_of, clock)""]"
The utility class is called Arrays and is located in the standard Java package java.util.,[]
The purpose of a constructor is to initialize the fields in the class.,[]
Now the isValid() method returns the value returned by the value.equals() method call.,"[""('method', 'collaboration', 'method'): (isvalid(), returns the value of, value.equals())""]"
In many cases it would have made sense to place the getLicensePlate() method in the Vehicle class where the licensePlate field is located.,"[""('method', 'collaboration', 'class'): (getlicenseplate(), placement_in, vehicle)""]"
"Here is the same instanceof example, but using a Truck object instead of a Car object: Truck truck = new Truck(); Vehicle vehicle = truck; boolean isCar = vehicle instanceof Car; After executing this code the isCar will contain the value false.","[""('class', 'conversion', 'class'): (vehicle, instanceof check, car)"", ""('class', 'creation', 'class'): (truck, instantiation, vehicle)""]"
The updateLicensePlate() method sets the license plate value on the licensePlate field in the Car class.,"[""('method', 'collaboration', 'class'): (updatelicenseplate(), sets the license plate value, car)""]"
"The getLicensePlate() method, however, returns the value of the licensePlate field in the Vehicle class.","[""('class', 'collaboration', 'method'): (vehicle, uses_getlicenseplate_method, getlicenseplate())""]"
"If you override a method in a subclass, and the method is all of a sudden removed or renamed or have its signature changed in the superclass, the method in the subclass no longer overrides the method in the superclass.","[""('method', 'dependency', 'method'): (method, is renamed or have its signature changed, method)"", ""('method', 'replacement', 'method'): (method, removed, method)""]"
Here is a Java instanceof example illustrating the comparison of null against a class:,[]
"That is because it is not the reference type that is compared against the target class or interface, but the actual type of the referenced object.",[]
"A Java interface is a bit like a Java class, except a Java interface can only contain method signatures and fields.",[]
The class does not need to implement (declare) the variables of an interface.,[]
"You must always create an instance of some class that implements the interface, and reference that instance as an instance of the interface.",[]
"While it is normally possible for a class to implement multiple interfaces even if the interfaces contain methods with the same signature, this is not possible if one or more of these methods are default methods.","[""('interface', 'containment', 'method'): (interface, contain, method)"", ""('interface', 'containment', 'method'): (interface, contain, default method)""]"
In both of the above situations the Java compiler requires that the class implementing the interface(s) explicitly implements the method which causes the problem.,"[""('class', 'implementation', 'method'): (class, implements, method)""]"
The implementation in the class takes precedence over any default implementations.,[]
"Since the return value of produce() is Object, it can return any Java object.","[""('method', 'creation', 'class'): (produce(), return value, object)""]"
"Notice how the object returned from the carProducer.produce() method call has to be cast to a Car instance, because the produce() method return type is Object.","[""('class', 'conversion', 'class'): (object, cast, car)""]"
"As you can see, since the generic type for the CarProducer instance is set to Car, it is no longer necessary to cast the object returned from the produce() method, since the original method declaration in the MyProducer interface states, that this method returns the same type as is specified in the generic type when used.","[""('class', 'containment', 'class'): (carproducer, set to, car)"", ""('interface', 'containment', 'method'): (myproducer, declaration includes method, produce())"", ""('method', 'creation', 'class'): (produce(), returns object, car)""]"
Now the result variable would end up with the value 12.5.,[]
The example above defines a method called writeText inside a class named MyClass.,"[""('class', 'containment', 'method'): (myclass, defines a method called, writetext)""]"
This would happen sometime at runtime - depending on when the application tried to use the missing class.,[]
This example module descriptor declares that it requires the standard Java module named javafx.graphics.,[]
Here is how you run the main class from a Java module JAR file:,[]
In Java nested classes are classes that are defined inside another class.,"[""('class', 'containment', 'class'): (nested class, are defined inside, class)""]"
Notice how you put new after the reference to the outer class in order to create an instance of the inner class.,[]
"As you can see, an anonymous class implementing an interface is pretty similar to an anonymous class extending another class.","[""('class', 'similarity', 'interface'): (anonymous class, similar to, interface)"", ""('class', 'similarity', 'class'): (anonymous class, similar to, anonymous class)""]"
"Users of the Cache class may never see the CacheEntry class, if they have no need to obtain information about the CacheEntry itself, but only the cached value.","[""('class', 'containment', 'class'): (cache, includes or holds, cacheentry)""]"
"If the classes A and B are located in the same Java package, there is no problem with the code above.","[""('package', 'containment', 'class'): (java package, includes, a)"", ""('package', 'containment', 'class'): (java package, includes, b)""]"
"Instead of having a fixed number of layer packages which keep growing in number of classes, you get a growing number of application functionality packages with a smaller number of classes inside.","[""('package', 'containment', 'class'): (package, includes, class)""]"
A Java Record is a special kind of Java class which has a concise syntax for defining immutable data-only classes.,[]
You can add instance methods to a Java Record definition - just like you can with a regular Java class.,"[""('method', 'collaboration', 'class'): (instance method, add, java record)""]"
Notice how the brandAsLowerCase() method calls the auto-generated brand() method internally.,"[""('method', 'collaboration', 'method'): (brandaslowercase(), calls, brand())""]"
"As you can see, a new StringBuilder is created, passing along the first String to its constructor, and the second String to its append() method, before finally calling the toString() method.","[""('class', 'creation', 'class'): (stringbuilder, is_created_with, string)"", ""('class', 'collaboration', 'method'): (stringbuilder, uses_method, append())"", ""('class', 'collaboration', 'method'): (stringbuilder, calls_method, tostring())""]"
You can search for substrings in Strings using the indexOf() method.,"[""('method', 'collaboration', 'class'): (indexof(), search for substrings, strings)""]"
The Java String class also has a lastIndexOf() method which finds the last occurrence of a substring.,"[""('class', 'collaboration', 'method'): (string, has_a_method, lastindexof())""]"
The Java String class contains a method called trim() which can trim a string object.,"[""('class', 'collaboration', 'method'): (string, use method trim(), trim())""]"
"If not, the default toString() method (inherited from the Object class) will get called.",[]
From Java 13 the Java String class got a new method called translateEscapes() which can translate escape codes that exist inside a String in the same way the Java compiler translates them.,"[""('class', 'collaboration', 'method'): (string, got a new method called, translateescapes())""]"
When you create an instance of a class (an object) the object can have methods you can execute.,"[""('class', 'creation', 'class'): (instance, generation, object)"", ""('class', 'collaboration', 'method'): (object, use, methods)""]"
The second line assigns the floating point value 199.99 to the floating point variable named myFloat.,[]
"When you click the ""Run..."" option, IntelliJ IDEA will first compile your Java class, and then run it.","[""('class', 'implementation', 'method'): (intellij idea, run, run...)""]"
"The logrb() methods work like the log() methods too, except they can obtain the log messages from a resource bundle.","[""('method', 'collaboration', 'method'): (logrb, work like, log)""]"
You can obtain the parent Logger of a given Logger using the getParent() method.,"[""('class', 'collaboration', 'method'): (logger, use, getparent())""]"
The getParameters() method returns the parameters to be inserted into the message of this LogRecord.,"[""('method', 'collaboration', 'class'): (getparameters(), returns the parameters to be inserted into the message of, logrecord)""]"
The getResourceBundle() method returns the ResourceBundle (if any) used to localize the message of this LogRecord.,[]
"Note: This tutorial does not cover the other popular Java logging API's (Log4J, SLF4J, Apache Commons Logging, LogBack etc.).",[]
Receiving data via a DatagramSocket is done by first creating a DatagramPacket and then receiving data into it via the DatagramSocket's receive() method.,"[""('class', 'creation', 'class'): (datagrampacket, creating, datagrampacket)"", ""('class', 'collaboration', 'class'): (datagramsocket, receive(), datagrampacket)""]"
The java.net package contains two interesting classes: The URL class and the URLConnection class.,"[""('package', 'containment', 'class'): (java.net, contains, url)"", ""('package', 'containment', 'class'): (java.net, contains, urlconnection)""]"
You can check the when the read operation is finished by calling the isDone() method of the Future instance returned by the read() method.,[]
Each way to write data call one of the write() methods of the AsynchronousFileChannel.,"[""('class', 'collaboration', 'method'): (asynchronousfilechannel, call one of the write() methods of, write())""]"
The int returned by the read() method tells how many bytes were written into the Buffer.,"[""('method', 'collaboration', 'class'): (read(), use, buffer)""]"
There is no guarantee of how many bytes the write() method writes to the FileChannel.,"[""('method', 'collaboration', 'class'): (write(), writes_to, filechannel)""]"
You can obtain the current position of the FileChannel object by calling the position() method.,[]
The Files.createDirectory() method creates a new directory from a Path instance.,"[""('method', 'creation', 'class'): (files.createdirectory(), creates a new directory from, path)""]"
The Java NIO Files class also contains a function for moving files from one path to another.,[]
Here is a walkFileTree() that extends SimpleFileVisitor to look for a file named README.txt :,"[""('method', 'collaboration', 'class'): (walkfiletree(), uses, simplefilevisitor)""]"
"By walking through all directories and deleting all files (inside visitFile()) in each directory, and afterwards delete the directory itself (inside postVisitDirectory()) you can delete a directory with all subdirectories and files.","[""('method', 'collaboration', 'method'): (visitfile(), use, postvisitdirectory())""]"
"In many cases though, you can replace the use of the File class with use of the Path interface.","[""('class', 'replacement', 'interface'): (file, replace the use of, path)""]"
The normalize() method of the Path interface can normalize a path.,"[""('method', 'collaboration', 'interface'): (normalize(), use_method, path)""]"
"As you saw in the previous section, when you register a Channel with a Selector the register() method returns a SelectionKey objects.","[""('class', 'creation', 'class'): (selector, returns, selectionkey)"", ""('class', 'collaboration', 'class'): (channel, register(), selector)""]"
"You can also attach an object already while registering the Channel with the Selector, in the register() method.","[""('class', 'collaboration', 'class'): (channel, registering, selector)"", ""('class', 'collaboration', 'method'): (channel, register(), register())"", ""('class', 'collaboration', 'method'): (selector, register(), register())""]"
NOTE: Only the interfaces specifically declared implemented by a given class is returned.,[]
All you need to do is to obtain a ClassLoader and call its loadClass() method.,"[""('class', 'collaboration', 'method'): (classloader, use of, loadclass())""]"
"When the MyAction class calls methods on the IMyFactory instance injected into its constructor by the container, the method calls are translated into calls to the IContainer.instance() method, which is the method you use to obtain instances from the container.","[""('class', 'collaboration', 'interface'): (myaction, calls methods on, imyfactory)"", ""('class', 'collaboration', 'method'): (myaction, calls methods on, icontainer.instance())""]"
"You cannot ask for getters and setters explicitly, so you will have to scan through all the methods of a class and check if each method is a getter or setter.",[]
To access a private field you will need to call the Class.getDeclaredField(String name) or Class.getDeclaredFields() method.,"[""('method', 'collaboration', 'method'): (class.getdeclaredfield(), call, class.getdeclaredfields())""]"
"By calling Field.setAcessible(true) you turn off the access checks for this particular Field instance, for reflection only.","[""('method', 'collaboration', 'class'): (field.setaccessible, turn off the access checks for, field)""]"
"The methods Class.getMethod(String name, Class[] parameterTypes) and Class.getMethods() methods only return public methods, so they won't work.","[""('method', 'collaboration', 'method'): (class.getmethod, use or provision of, class.getmethods)""]"
"It will explain the basics of Java Reflection including how to work with arrays, annotations, generics and dynamic proxies, and do dynamic class loading and reloading.",[]
"For instance, if you are introspecting a String array, you can detect that the element type is String by inspecting the array class.","[""('class', 'containment', 'class'): (string array, element type, string)""]"
"For instance, the character class [a-zA-Z] will match all letters between a and z or between A and Z .",[]
"For that, you need to use the find(), start() and end() methods.","[""('method', 'collaboration', 'method'): (find(), use, start())"", ""('method', 'collaboration', 'method'): (find(), use, end())"", ""('method', 'collaboration', 'method'): (start(), use, end())""]"
"In other words, if the regular expression matches the beginning of a text but not the whole text, lookingAt() will return true, whereas matches() will return false.","[""('method', 'difference', 'method'): (lookingat(), return true on partial match, matches())"", ""('method', 'difference', 'method'): (matches(), return false on partial match, lookingat())""]"
"In case you have started matching occurrences in a string via the find() method, the Matcher will internally keep a state about how far it has searched through the input text.","[""('method', 'collaboration', 'class'): (find(), use of method, matcher)""]"
The Matcher replaceAll() and replaceFirst() methods can be used to replace parts of the string the Matcher is searching through.,"[""('method', 'collaboration', 'method'): (replaceall(), be used to replace, replacefirst())""]"
A regular expression is also sometimes referred to as a pattern (hence the name of the Java Pattern class).,[]
"Too keep this text short, the Matcher covered in more detail in the text about the Java Matcher class.","[""('class', 'containment', 'class'): (matcher, included, java matcher)""]"
When you are finished reading data from the GZIPInputStream you should close it using its close() method.,"[""('class', 'collaboration', 'method'): (gzipinputstream, use, close())""]"
"But, notice how no DI is used inside the BO.checkPersonIsValid() or the DAO.readPerson() methods.","[""('method', 'collaboration', 'class'): (checkpersonisvalid, use bo.checkpersonisvalid(), bo)"", ""('method', 'collaboration', 'class'): (readperson, use dao.readperson(), dao)""]"
"This little script defines the ""max"" factory as a call to the static max() method with input parameter 0 and 1 passed to the max() method.","[""('method', 'collaboration', 'method'): (max, call to the static max() method, max)""]"
"In other words, as a call to the get() method on the HttpRequestCache singleton.",[]
The ScriptFactoryBuilder has a addFactories() method that takes an InputStream as parameter instead of a String.,"[""('method', 'collaboration', 'class'): (addfactories(), takes_as_parameter, inputstream)""]"
"Notice how the HttpServletRequest and HttpServletResponse are not obtained by the ThreadLocal.get() method, but via the static methods getRequest() and getResponse().",[]
"The IObjectMappingKey instance can contain more information about the class to be mapped, than a Class object can.","[""('class', 'containment', 'class'): (iobjectmappingkey, contain more information about, class)""]"
This is the object is obtained from the getResult() method of the IResultSetProcessor.,"[""('method', 'collaboration', 'interface'): (getresult(), obtained from, iresultsetprocessor)""]"
"This speeds up object mapping cache lookups because the hashCode() method returns this int id, and because equals() also only compares int id's, instead of Class objects, table names etc.","[""('method', 'collaboration', 'method'): (hashcode(), speeds up object mapping cache lookups, equals())""]"
The extended class CustomObjectMapperBase is an empty implementation of the ICustomObjectMapper interface.,[]
Just call the IObjectMapping.removeGetterMapping(String name) or IObjectMapping.removeSetterMapping(String name) method to do so.,"[""('method', 'collaboration', 'method'): (iobjectmapping.removegettermapping, use method, iobjectmapping.removesettermapping)""]"
"Second, you do not need the parentheses around the closure when calling doFirst() or doLast().","[""('method', 'collaboration', 'method'): (dofirst, use of methods, dolast)""]"
The and() method is used to combine two other Predicate functions in the same way I showed in the beginning of this Java functional composition tutorial.,"[""('method', 'collaboration', 'interface'): (and(), combine, predicate)""]"
"The Java Function compose() method composes a new Function instance from the Function instance it is called on, and the Function instance passed as parameter to the compose() method.",[]
The first example of a higher order function is the Collections.sort() method which takes a Comparator as parameter.,[]
The call to the map() method of the Stream interface is a non-terminal operation.,"[""('method', 'collaboration', 'interface'): (map(), method of, stream)""]"
Only the first occurrence of this element will be included in the Stream returned by distinct().,[]
"The findFirst() method returns an Optional from which you can obtain the element, if present.","[""('method', 'collaboration', 'class'): (findfirst(), returns, optional)""]"
"The Java Stream forEach() method is a terminal operation which starts the internal iteration of the elements in the Stream, and applies a Consumer (java.util.function.Consumer) to each element in the Stream.","[""('method', 'collaboration', 'interface'): (foreach(), applies to elements in the stream, java.util.function.consumer)""]"
Which element is the largest is determined by the Comparator implementation you pass to the max() method.,[]
This Optional contains the value (if any) returned by the lambda expression passed to the reduce() method.,"[""('class', 'containment', 'method'): (optional, contains the value, reduce())""]"
"Note: Even if the class is called RollingBufferInputStream, it is not an InputStream subclass.","[""('class', 'difference', 'class'): (rollingbufferinputstream, not an inputstream subclass, inputstream)""]"
"You can specify fonts for most text objects (Chunk, Phrase, Paragraph etc.)",[]
"If you already have a finished PDF, and just want to add a header, footer or watermark to it, IText provides the com.itextpdf.pdf.PdfStamper class.",[]
"You can write text as superscript or subscript using the Chunk class, and it's setTextRise() method.","[""('class', 'collaboration', 'method'): (chunk, using the settextrise() method, settextrise())""]"
"You can add underline and strikethrough text using the Chunk class, and its setUnderline() method.","[""('class', 'collaboration', 'method'): (chunk, use method, setunderline())""]"
"It is now up to the caller of the readMyData() method to decide if an existing MyData instance should be reused, or if a new instance should be created.",[]
The value returned by write() is the number of bytes copied from the ByteBuffer.,"[""('method', 'collaboration', 'class'): (write(), number of bytes copied from, bytebuffer)""]"
Here is an implementation of the ring buffer that uses a fill count including the batch put() and take() operations.,"[""('method', 'collaboration', 'method'): (put(), uses a fill count including the batch, take())""]"
"Here is an implementation of the ring buffer that uses a read position and flip marker, including the batch put() and take() operations.","[""('method', 'collaboration', 'method'): (put(), batch operation, take())""]"
"If your benchmark method produces multiple results you can pass each of these results to a black hole, meaning calling consume() on the Blackhole instance for each value.",[]
The javax.servlet.http.HttpServlet class is a slightly more advanced base class than the GenericServlet shown in the Simple Servlet example.,"[""('class', 'difference', 'class'): (javax.servlet.http.httpservlet, is a slightly more advanced base class than, javax.servlet.genericservlet)""]"
The easiest way to implement this interface is to extend either the class GenericServlet or HttpServlet.,[]
Each test method usually tests a single method of the target class.,[]
"A protected method or field, on the other hand, is also accessible to other classes in the same package, and for subclasses of the unit too.",[]
"When your business logic class is separated from the boundary class, you can test the business logic class separately.",[]
Here is the unit test which uses a ByteArrayOutputStream to collect the data written to the OutputStream passed to the MyIOUnit.write() method:,"[""('class', 'collaboration', 'class'): (bytearrayoutputstream, collects data written to, outputstream)"", ""('class', 'collaboration', 'method'): (bytearrayoutputstream, uses in, myiounit.write())"", ""('class', 'collaboration', 'method'): (outputstream, passed to, myiounit.write())""]"
You may also be able to use the StringReader and StringWriter classes in your unit tests.,"[""('class', 'collaboration', 'class'): (stringreader, use, stringwriter)""]"
"To avoid fragmenting the Java heap with Bytes instances, the Bytes class is designed to be obtained from an ObjectPool .","[""('class', 'creation', 'class'): (bytes, obtained from, objectpool)""]"
To defragment the free blocks you call the defragment() method of the BytesAllocatorManualDefrag .,"[""('method', 'collaboration', 'class'): (defragment(), use_method, bytesallocatormanualdefrag)""]"
The Bytes class represents a byte sequence allocated from a shared byte array.,"[""('class', 'containment', 'class'): (bytes, represents a byte sequence, byte)""]"
"As you can see, the ChannelInitializer is added to the ServerBootstrap using the childHandler() method.","[""('class', 'collaboration', 'class'): (channelinitializer, added to, serverbootstrap)"", ""('class', 'collaboration', 'method'): (channelinitializer, added to, childhandler())""]"
"By calling sync() on the ChannelFuture the main thread that creates the server waits until the server has started, before continuing.","[""('class', 'collaboration', 'method'): (channelfuture, used with, sync())""]"
The easiest way to create an instance of the RionObjectReader is via the RionObjectReaderBuilder class.,"[""('class', 'creation', 'class'): (rionobjectreaderbuilder, create an instance of, rionobjectreader)""]"
The RionObjectReader readCyclic() method reads a cyclic object graph stored as RION in a byte array.,"[""('class', 'collaboration', 'method'): (rionobjectreader, use_readcyclic_method, readcyclic())""]"
The RionObjectWriter writeAcyclic() can write an acyclic object graph as RION into a byte array.,"[""('class', 'collaboration', 'method'): (rionobjectwriter, can write, writeacyclic())""]"
When reading a composite RION field you need to use the RionReader moveInto() and moveOutOf() methods.,"[""('method', 'collaboration', 'method'): (moveinto, use, moveoutof)""]"
"Here are two examples of writing a 32 bit and 64 bit floating point number as RION Float fields to the destination byte array, using the RionWriter writeFloat32() and writeFloat64() methods:","[""('method', 'collaboration', 'method'): (writefloat32(), use, writefloat64())""]"
The StreamStorageFS class contains a method to read bytes from a stream block file.,"[""('class', 'containment', 'method'): (streamstoragefs, contains, read)""]"
"The readBytes() method reads bytes from the file represented by the given StreamStorageBlockFS instance, into the byte[] array passed as parameter.",[]
You can always obtain the root directory path a StreamStorageRootFS was created with via its getRootDirPath() method.,"[""('class', 'collaboration', 'method'): (streamstoragerootfs, obtain root directory path via, getrootdirpath())""]"
"When you write records to a stream via the StreamStorageFS instance, the StreamStorageFS class will divide the records into multiple files.","[""('class', 'collaboration', 'class'): (streamstoragefs, divide the records into multiple files, streamstoragefs)""]"
You can read the data stored in a Buffer using the many get...() methods.,"[""('class', 'collaboration', 'method'): (buffer, read, get...())""]"
Notice the use of / as directory separator and the use of : as classpath entry separator.,[]
"However, if you do need to access the body of the HTTP response, you need to register another handler on the HttpClientResponse that is passed as parameter to the first Handler's handle() method.","[""('class', 'collaboration', 'class'): (httpclientresponse, register another handler on, handler)"", ""('class', 'collaboration', 'method'): (httpclientresponse, is passed as parameter to, handle())""]"
"Again, the NetClient's close() method is asynchronous, so the underlying TCP connection may not yet be closed by the time the close() method returns.",[]
Sending messages via the event bus can be done via either the send() or publish() method on the event bus.,"[""('method', 'collaboration', 'method'): (send(), can be done via, publish())""]"
A verticle has a start() and a stop() method which are called when the verticle is deployed and when it is undeployed.,[]
The addAll() method takes a Collection as parameter so you can pass either a List or Java Set as parameter,"[""('method', 'collaboration', 'interface'): (addall(), takes, collection)"", ""('method', 'collaboration', 'interface'): (addall(), pass, list)"", ""('method', 'collaboration', 'interface'): (addall(), pass, set)""]"
But no thread can actually execute unlock() until the thread waiting in lock() leaves the outer synchronized block,"[""('method', 'dependency', 'method'): (unlock(), execution waiting for lock to release, lock())""]"
A thread cannot call wait() notify() or notifyAll() without holding the lock on the object the method is called on,"[""('method', 'collaboration', 'method'): (wait(), cannot_call_without_lock, notify())"", ""('method', 'collaboration', 'method'): (wait(), cannot_call_without_lock, notifyall())"", ""('method', 'collaboration', 'method'): (notify(), cannot_call_without_lock, notifyall())""]"
"The Arrays class contains a set of methods called binarySearch(). This method helps you perform a binary search in an array. The array must first be sorted. You can do so yourself, or via the Arrays.sort() method covered earlier in this text.","[""('class', 'containment', 'method'): (arrays, contains_methods, binarysearch())"", ""('class', 'containment', 'method'): (arrays, contains_methods, sort())"", ""('method', 'dependency', 'method'): (binarysearch(), requires, sort())""]"
java.lang.ThreadLocal is possible to set an initial value for a Java ThreadLocal which will get used the first time get() is called before set() has been called with a new value,"[""('method', 'dependency', 'method'): (java.lang.threadlocal.get(), before, java.lang.threadlocal.set())""]"
Adding and getting elements to a generic Map is done using the put() and get() methods just like you have always done,"[""('method', 'collaboration', 'method'): (put(), use_methods, get())""]"
Deque.pollLast() is different than removeLast() which throws an exception if the Deque is empty,"[""('method', 'difference', 'method'): (deque.polllast(), different than, removelast())""]"
The tailSet() method works the same way as the headSet() method except it returns all elements that are equal to or higher than the given parameter element,"[""('method', 'similarity', 'method'): (tailset(), works the same way as, headset())""]"
"You can also obtain an Iterator from many of the Java Collection data structures, e.g. a List, Set, Map, Queue, Deque or Map.",[]
java.io.Writer works just like combining the Reader with InputStream or the Writer with OutputStream,"[""('class', 'collaboration', 'class'): (java.io.writer, works just like combining, java.io.reader)"", ""('class', 'collaboration', 'class'): (java.io.writer, works just like combining, java.io.inputstream)"", ""('class', 'collaboration', 'class'): (java.io.writer, works just like combining, java.io.outputstream)""]"
Remember that even if the 4 threads call wait() and notify() on the same shared string instance the signals from the doWait() and doNotify() calls are stored individually in the two MyWaitNotify instances,"[""('method', 'collaboration', 'method'): (wait(), signals from the dowait() and donotify() calls are stored individually, notify())""]"
The bigger the result String grows the longer it takes to copy the characters from it into a new StringBuilder and again copy the characters from the StringBuilder into the temporary String created by the toString() method,"[""('class', 'collaboration', 'class'): (string, copy the characters from it into, stringbuilder)"", ""('class', 'collaboration', 'method'): (stringbuilder, copy the characters from, tostring())""]"
The logp() methods work like the log() methods except each method take an extra two parameters The sourceClass and sourceMethod parameter,"[""('method', 'similarity', 'method'): (logp(), methods work like the, log())""]"
But since the thread waiting in lock() has not yet called queueObject.wait() the call to queueObject.notify() passes into oblivion,"[""('method', 'dependency', 'method'): (lock(), waiting in, queueobject.wait())""]"
Since PipedOutputStream is a subclass of OutputStream PipedOutputStream has the same basic methods and use patterns as an OutputStream,"[""('class', 'collaboration', 'class'): (pipedoutputstream, has the same basic methods and use patterns as, outputstream)""]"
You can convert a Java Set to a Java List by creating a List and calling its addAll() method passing the Set as parameter to the addAll() method,"[""('class', 'conversion', 'class'): (set, convert to, list)"", ""('class', 'collaboration', 'method'): (list, use, addall())"", ""('class', 'collaboration', 'method'): (set, pass to, addall())""]"
Even though the Java Networking APIs enable you to open and close network connections via sockets all communication happens via the Java IO classes InputStream and OutputStream,"[""('class', 'collaboration', 'class'): (socket, open and close network connections, inputstream)"", ""('class', 'collaboration', 'class'): (socket, open and close network connections, outputstream)""]"
Again here the first() and next() methods return the unicode index of the found word boundary,"[""('method', 'collaboration', 'method'): (first(), return the unicode index of the found word boundary, next())""]"
Obviously if the input parameter to contains() is null the contains() method will not use the equals() method to compare against each element but rather use the == operator,"[""('method', 'collaboration', 'method'): (contains(), use, equals())""]"
Both Java File and FileChannel works but in case you want a pure Java NIO solution use the Java NIO FileChannel class,"[""('class', 'collaboration', 'class'): (file, works with, filechannel)"", ""('class', 'preference', 'class'): (filechannel, preferred for, filechannel)""]"
If you need an integer value use the round() floor() or ceil() method,"[""('method', 'collaboration', 'method'): (round(), use, floor())"", ""('method', 'collaboration', 'method'): (round(), use, ceil())"", ""('method', 'collaboration', 'method'): (floor(), use, ceil())""]"
The poll() and remove() both removes the first element in the Queue. They differ in how they behave if the Queue is empty. The poll() method returns null if the Queue is empty. The remove() method throws an exception if the Queue is empty.,"[""('method', 'collaboration', 'method'): (poll(), removes the first element, remove())"", ""('method', 'difference', 'method'): (poll(), differs in behavior if queue is empty, remove())""]"
"The add() and offer() methods differ in how the behave if the Queue is full, so no more elements can be added. The add() method throws an exception in that case, whereas the offer() method just returns false.","[""('method', 'difference', 'method'): (add(), method throws exception, offer())"", ""('method', 'collaboration', 'interface'): (add(), involve use, queue)"", ""('method', 'collaboration', 'interface'): (offer(), involve use, queue)""]"
